stock_no,stock_name,business_scope,competitor
1324,地球,地球是做什麼的？地球主要經營各種黏膠帶電報紙防水紙防蝕漆防蝕膠帶等之製造加工買賣業務機械設計之製造加工按裝修護買賣及電子產品之製造加工買賣業務禮品雜貨等之買賣業務,"地球主要經營業務為膠帶，競爭對手為同樣從事膠帶的下列幾家公司：{'1262': '綠悅-KY', '1715': '萬洲', '3171': '新洲', '4306': '炎洲', '8354': '冠好'}"
1325,恆大,恒大是做什麼的？恒大主要經營各類不織布之產銷,"恒大主要經營業務為不織布，競爭對手為同樣從事不織布的下列幾家公司：{'6504': '南六', '8480': '泰昇-KY', '8929': '富堡', '9919': '康那香', '9944': '新麗'}"
1326,台化,台化是做什麼的？台化主要經營純對苯二甲酸、聚苯乙烯、苯乙烯、鄰二甲苯、對二甲苯、苯、合成酚、丙酮、聚丙烯、二甲基甲醯胺、ABS、嫘縈棉、合成纖維紗、布、耐隆絲、耐隆絲布及其染整加工等製銷,"台化主要經營業務為泛用塑膠，競爭對手為同樣從事泛用塑膠的下列幾家公司：{'1301': '台塑', '1302': '國塑', '1303': '南亞', '1304': '台聚', '1305': '華夏', '1308': '亞聚', '1309': '台達化', '1310': '台苯', '1311': 'Ｄ福聚', '1312': '國喬'}"
1333,恩得利,"恩得利是做什麼的？恩得利主要經營塑膠日用品,工業用塑膠製品製造及進出口貿易業務電子零件及各種機械零件之製造加工,買賣及進出口貿易業務鋼模之製造加工,買賣及進出口貿易業務","恩得利主要經營業務為連接器，競爭對手為同樣從事連接器的下列幾家公司：{'2328': '廣宇', '2392': '正崴', '2440': '太空梭', '2460': '建通', '2462': '良得電', '3003': '健和興', '3011': '今皓', '3021': '鴻名', '3023': '信邦', '3092': '鴻碩'}"
1336,台翰,台翰是做什麼的？台翰主要經營精密模具治具之設計製造及買賣業務電器製品運動器材文具用品等所需之塑膠零組件之製造及買賣業務前述各項業務之進出口業務,"台翰主要經營業務為沖壓零組件，競爭對手為同樣從事沖壓零組件的下列幾家公司：{'1582': '信錦', '1586': '和勤', '2476': '鉅祥', '2483': '百容', '3290': '東浦', '3310': '佳穎', '3311': '閎暉', '3376': '新日興', '3543': '州巧', '3548': '兆利'}"
1337,再生-KY,再生-KY是做什麼的？再生-KY主要經營以廢塑膠再生運用以產製EVA之共混發泡製品之製造及銷售,"再生-KY主要經營業務為塑膠製品，競爭對手為同樣從事塑膠製品的下列幾家公司：{'1340': '勝悅-KY', '1342': '八貫', '1343': '旭東環保', '5356': '協益', '8421': '旭源', '8466': '美吉吉-KY', '8935': '邦泰', '9939': '宏全'}"
1338,廣華-KY,廣華-KY是做什麼的？廣華-KY主要經營汽車內飾件之曲面印刷、表面塗裝及射出成型等製造及銷售汽車內飾件之模具製造及銷售其他,"廣華-KY主要經營業務為汽車組件，競爭對手為同樣從事汽車組件的下列幾家公司：{'1319': '東陽', '1339': '昭輝', '1506': '正道', '1512': '瑞利', '1521': '大億', '1522': '堤維西', '1523': '開億', '1524': '耿鼎', '1525': '江申', '1533': '車王電'}"
1339,昭輝,昭輝是做什麼的？昭輝主要經營汽車零組件之製造及銷售,"昭輝主要經營業務為汽車組件，競爭對手為同樣從事汽車組件的下列幾家公司：{'1319': '東陽', '1338': '廣華-KY', '1506': '正道', '1512': '瑞利', '1521': '大億', '1522': '堤維西', '1523': '開億', '1524': '耿鼎', '1525': '江申', '1533': '車王電'}"
1340,勝悅-KY,勝悅-KY是做什麼的？勝悅-KY主要經營從事高分子複合材料之研發與應用，目前主要應用於各式鞋底材料,"勝悅-KY主要經營業務為塑膠製品，競爭對手為同樣從事塑膠製品的下列幾家公司：{'1337': '再生-KY', '1342': '八貫', '1343': '旭東環保', '5356': '協益', '8421': '旭源', '8466': '美吉吉-KY', '8935': '邦泰', '9939': '宏全'}"
1341,富林-KY,富林-KY是做什麼的？富林-KY主要經營乳膠皮、膠布、及柔軟皮等PVC 皮革與環保PU皮革之生產銷售,"富林-KY主要經營業務為合成皮，競爭對手為同樣從事合成皮的下列幾家公司：{'1306': '合發', '1307': '三芳', '4303': '信立', '8713': '延穎', '8721': '尚鋒'}"
